Feature,loan_id,loan_status,IQR Lower,IQR Upper,Richtung,applicant_income,coapplicant_income,loan_amount
applicant_income,LP001020,0.0,-1492.0,10204.0,Oben,12841.0,,
applicant_income,LP001100,0.0,-1492.0,10204.0,Oben,12500.0,,
applicant_income,LP001186,0.0,-1492.0,10204.0,Oben,11500.0,,
applicant_income,LP001233,1.0,-1492.0,10204.0,Oben,10750.0,,
applicant_income,LP001369,1.0,-1492.0,10204.0,Oben,11417.0,,
applicant_income,LP001401,1.0,-1492.0,10204.0,Oben,14583.0,,
applicant_income,LP001422,1.0,-1492.0,10204.0,Oben,10408.0,,
applicant_income,LP001451,0.0,-1492.0,10204.0,Oben,10513.0,,
applicant_income,LP001469,1.0,-1492.0,10204.0,Oben,20166.0,,
applicant_income,LP001492,,-1492.0,10204.0,Oben,14999.0,,
applicant_income,LP001508,1.0,-1492.0,10204.0,Oben,11757.0,,
applicant_income,LP001516,1.0,-1492.0,10204.0,Oben,14866.0,,
applicant_income,LP001536,1.0,-1492.0,10204.0,Oben,39999.0,,
applicant_income,LP001637,0.0,-1492.0,10204.0,Oben,33846.0,,
applicant_income,LP001640,1.0,-1492.0,10204.0,Oben,39147.0,,
applicant_income,LP001656,0.0,-1492.0,10204.0,Oben,12000.0,,
applicant_income,LP001844,0.0,-1492.0,10204.0,Oben,16250.0,,
applicant_income,LP001859,0.0,-1492.0,10204.0,Oben,14683.0,,
applicant_income,,1.0,-1492.0,10204.0,Oben,11146.0,,
applicant_income,LP001907,1.0,-1492.0,10204.0,Oben,14583.0,,
applicant_income,LP001996,0.0,-1492.0,10204.0,Oben,20233.0,,
applicant_income,LP002065,1.0,-1492.0,10204.0,Oben,15000.0,,
applicant_income,LP002101,1.0,-1492.0,10204.0,Oben,63337.0,,
applicant_income,LP002191,0.0,-1492.0,10204.0,Oben,19730.0,,
applicant_income,LP002194,1.0,-1492.0,10204.0,Oben,15759.0,,
applicant_income,LP002317,0.0,-1492.0,10204.0,Oben,81000.0,,
applicant_income,,1.0,-1492.0,10204.0,Oben,12876.0,,
applicant_income,LP002403,0.0,-1492.0,10204.0,Oben,10416.0,,
applicant_income,LP002422,1.0,-1492.0,10204.0,Oben,37719.0,,
applicant_income,LP002527,1.0,-1492.0,10204.0,Oben,16525.0,,
applicant_income,LP002531,1.0,-1492.0,10204.0,Oben,16667.0,,
applicant_income,LP002541,1.0,-1492.0,10204.0,Oben,10833.0,,
applicant_income,LP002547,0.0,-1492.0,10204.0,Oben,18333.0,,
applicant_income,LP002582,1.0,-1492.0,10204.0,Oben,17263.0,,
applicant_income,LP002624,1.0,-1492.0,10204.0,Oben,20833.0,,
applicant_income,LP002634,1.0,-1492.0,10204.0,Oben,13262.0,,
applicant_income,LP002699,1.0,-1492.0,10204.0,Oben,17500.0,,
applicant_income,LP002729,0.0,-1492.0,10204.0,Oben,11250.0,,
applicant_income,LP002731,1.0,-1492.0,10204.0,Oben,18165.0,,
applicant_income,LP002813,1.0,-1492.0,10204.0,Oben,19484.0,,
applicant_income,LP002855,1.0,-1492.0,10204.0,Oben,16666.0,,
applicant_income,LP002938,1.0,-1492.0,10204.0,Oben,16120.0,,
applicant_income,LP002959,1.0,-1492.0,10204.0,Oben,12000.0,,
applicant_income,LP001859,0.0,-1492.0,10204.0,Oben,14683.0,,
applicant_income,,1.0,-1492.0,10204.0,Oben,12876.0,,
applicant_income,LP002531,1.0,-1492.0,10204.0,Oben,16667.0,,
coapplicant_income,LP001020,0.0,-3499.5,5832.5,Oben,,10968.0,
coapplicant_income,LP001028,1.0,-3499.5,5832.5,Oben,,8106.0,
coapplicant_income,LP001114,1.0,-3499.5,5832.5,Oben,,7210.0,
coapplicant_income,LP001431,1.0,-3499.5,5832.5,Oben,,8980.0,
coapplicant_income,LP001488,0.0,-3499.5,5832.5,Oben,,7750.0,
coapplicant_income,LP001610,0.0,-3499.5,5832.5,Oben,,11300.0,
coapplicant_income,LP001633,0.0,-3499.5,5832.5,Oben,,7250.0,
coapplicant_income,LP001843,1.0,-3499.5,5832.5,Oben,,7101.0,
coapplicant_income,,1.0,-3499.5,5832.5,Oben,,6250.0,
coapplicant_income,LP002201,1.0,-3499.5,5832.5,Oben,,7873.0,
coapplicant_income,LP002297,1.0,-3499.5,5832.5,Oben,,20000.0,
coapplicant_income,LP002342,0.0,-3499.5,5832.5,Oben,,20000.0,
coapplicant_income,LP002424,,-3499.5,5832.5,Oben,,8333.0,
coapplicant_income,LP002624,1.0,-3499.5,5832.5,Oben,,6667.0,
coapplicant_income,LP002648,0.0,-3499.5,5832.5,Oben,,6666.0,
coapplicant_income,LP002693,1.0,-3499.5,5832.5,Oben,,7166.0,
coapplicant_income,LP002893,0.0,-3499.5,5832.5,Oben,,33837.0,
coapplicant_income,LP002949,0.0,-3499.5,5832.5,Oben,,41667.0,
loan_amount,LP001020,0.0,-8.0,280.0,Oben,,,349.0
loan_amount,LP001046,1.0,-8.0,280.0,Oben,,,315.0
loan_amount,LP001100,0.0,-8.0,280.0,Oben,,,320.0
loan_amount,LP001186,0.0,-8.0,280.0,Oben,,,286.0
loan_amount,LP001233,1.0,-8.0,280.0,Oben,,,312.0
loan_amount,LP001469,1.0,-8.0,280.0,Oben,,,650.0
loan_amount,LP001536,1.0,-8.0,280.0,Oben,,,600.0
loan_amount,LP001610,0.0,-8.0,280.0,Oben,,,495.0
loan_amount,LP001859,0.0,-8.0,280.0,Oben,,,304.0
loan_amount,LP001865,1.0,-8.0,280.0,Oben,,,330.0
loan_amount,LP001907,1.0,-8.0,280.0,Oben,,,436.0
loan_amount,LP001996,0.0,-8.0,280.0,Oben,,,480.0
loan_amount,LP002065,1.0,-8.0,280.0,Oben,,,300.0
loan_amount,LP002067,0.0,-8.0,280.0,Oben,,,376.0
loan_amount,LP002101,1.0,-8.0,280.0,Oben,,,490.0
loan_amount,LP002140,0.0,-8.0,280.0,Oben,,,308.0
loan_amount,LP002191,0.0,-8.0,280.0,Oben,,,570.0
loan_amount,LP002201,1.0,-8.0,280.0,Oben,,,380.0
loan_amount,,1.0,-8.0,280.0,Oben,,,296.0
loan_amount,LP002317,0.0,-8.0,280.0,Oben,,,360.0
loan_amount,,1.0,-8.0,280.0,Oben,,,405.0
loan_amount,LP002547,0.0,-8.0,280.0,Oben,,,500.0
loan_amount,LP002624,1.0,-8.0,280.0,Oben,,,480.0
loan_amount,LP002652,0.0,-8.0,280.0,Oben,,,311.0
loan_amount,LP002693,1.0,-8.0,280.0,Oben,,,480.0
loan_amount,LP002699,1.0,-8.0,280.0,Oben,,,400.0
loan_amount,LP002734,1.0,-8.0,280.0,Oben,,,324.0
loan_amount,LP002813,1.0,-8.0,280.0,Oben,,,600.0
loan_amount,LP002949,0.0,-8.0,280.0,Oben,,,350.0
loan_amount,LP002959,1.0,-8.0,280.0,Oben,,,496.0
loan_amount,LP001859,0.0,-8.0,280.0,Oben,,,304.0
loan_amount,,1.0,-8.0,280.0,Oben,,,405.0
